,speaker_id,service,path,cmd_index
0,2115610208,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\2115610208\eng\eng_8.wav,8
1,2115610208,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\2115610208\eng\eng_4.wav,4
2,500947574,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\500947574\eng\eng_26.wav,26
3,2115610208,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\2115610208\eng\eng_12.wav,12
4,2127261933,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\2127261933\eng\eng_6.wav,6
5,738867743,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\738867743\eng\eng_25.wav,25
6,2127261933,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\2127261933\eng\eng_7.wav,7
7,2127261933,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\2127261933\eng\eng_4.wav,4
8,1240446866,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\1240446866\eng\eng_19.wav,19
9,2127261933,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\2127261933\eng\eng_21.wav,21
10,132762273,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\132762273\eng\eng_27.wav,27
11,2115610208,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\2115610208\eng\eng_21.wav,21
12,500947574,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\500947574\eng\eng_5.wav,5
13,2115610208,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\2115610208\eng\eng_11.wav,11
14,873992744,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\873992744\eng\eng_9.wav,9
15,2115610208,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\2115610208\eng\eng_20.wav,20
16,2115610208,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\2115610208\eng\eng_14.wav,14
17,738867743,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\738867743\eng\eng_5.wav,5
18,2127261933,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\2127261933\eng\eng_11.wav,11
