,speaker_id,service,path,cmd_index
0,132762273,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\132762273\ita\ita_8.wav,8
1,63445529,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\63445529\ita\ita_4.wav,4
2,1364524938,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\1364524938\ita\ita_26.wav,26
3,132762273,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\132762273\ita\ita_12.wav,12
4,132762273,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\132762273\ita\ita_6.wav,6
5,1364524938,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\1364524938\ita\ita_25.wav,25
6,132762273,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\132762273\ita\ita_7.wav,7
7,132762273,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\132762273\ita\ita_4.wav,4
8,556469931,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\556469931\ita\ita_19.wav,19
9,1364524938,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\1364524938\ita\ita_21.wav,21
10,556469931,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\556469931\ita\ita_27.wav,27
11,132762273,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\132762273\ita\ita_21.wav,21
12,63445529,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\63445529\ita\ita_5.wav,5
13,556469931,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\556469931\ita\ita_11.wav,11
14,1700542692,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\1700542692\ita\ita_9.wav,9
15,556469931,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\556469931\ita\ita_20.wav,20
16,556469931,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\556469931\ita\ita_14.wav,14
17,1364524938,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\1364524938\ita\ita_5.wav,5
18,132762273,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\132762273\ita\ita_11.wav,11
19,1364524938,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\1364524938\ita\ita_11.wav,11
20,132762273,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\132762273\ita\ita_0.wav,0
21,556469931,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\556469931\ita\ita_25.wav,25
22,556469931,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\556469931\ita\ita_24.wav,24
23,132762273,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\132762273\ita\ita_14.wav,14
24,77a605f1829c7974d7028187ceb197fd3da5cc30c3537adbc8f3486760c0a7db3c52d8435d8291f704d5db1a9881fdaf7c615409d482d5f2cb66d5f6b691f81d,,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\common_voices\out\common_voice_it_20390703.wav,28
25,1364524938,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\1364524938\ita\ita_22.wav,22
26,1364524938,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\1364524938\ita\ita_23.wav,23
27,63445529,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\63445529\ita\ita_3.wav,3
28,3429556d788f9aaa66a4ea220ee568567a08288f844fec4b729d0574afad4b99d201dada2cf5145fcc8f01e163f5600a77df189f9513a2d8cb2b98e911187f10,,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\common_voices\out\common_voice_it_24940964.wav,28
29,1364524938,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\1364524938\ita\ita_20.wav,20
30,132762273,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\132762273\ita\ita_3.wav,3
31,1364524938,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\1364524938\ita\ita_6.wav,6
32,1364524938,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\1364524938\ita\ita_3.wav,3
33,1364524938,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\1364524938\ita\ita_12.wav,12
34,132762273,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\132762273\ita\ita_22.wav,22
35,556469931,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\556469931\ita\ita_26.wav,26
36,556469931,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\556469931\ita\ita_15.wav,15
37,556469931,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\556469931\ita\ita_6.wav,6
38,132762273,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\132762273\ita\ita_25.wav,25
39,556469931,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\556469931\ita\ita_10.wav,10
40,556469931,real,C:\MIE CARTELLE\PROGRAMMAZIONE\GITHUB\tesi_magistrale\dataset\Dataset_real_conv\556469931\ita\ita_17.wav,17
